sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
bird,4/24/2023,13:03:07,13:03:40,feeding,feeding,feeding,na,1,red-bellied woodpecker,
bird,4/24/2023,13:10:51,13:11:23,na,na,na,na,0,na,wind trigger
hawk,4/24/2023,13:17:30,13:18:03,feeding,feeding,flies away,34,1,house sparrow,
human,4/24/2023,13:21:03,13:21:35,feeding,flies away,absent,3,1,house sparrow,really good for presentation of bird running away
bird,4/24/2023,13:24:35,13:25:08,na,na,na,na,0,na,wind trigger
human,4/24/2023,13:41:58,13:42:31,feeding,flies away,absent,5,1,house finch,
bird,4/24/2023,13:55:27,13:56:00,feeding,flies away,absent,13,1,house sparrow,
bird,4/24/2023,13:59:00,13:59:32,na,na,na,na,0,na,wind trigger
hawk,4/24/2023,14:02:32,14:03:05,feeding,feeding,flies away,34,1,house sparrow,
human,4/24/2023,14:06:05,14:06:38,feeding,flies away,absent,17,1,house sparrow,
human,4/24/2023,14:21:48,14:22:20,flies away,absent,absent,1,2,chickadee,chased away by another bird
human,4/24/2023,14:34:50,14:35:23,feeding,flies away,absent,21,2,chickadee,another chickadee arrived at 32 sec
dog,4/24/2023,15:09:55,15:10:27,feeding,flies away,absent,3,1,house sparrow,
hawk,4/24/2023,15:23:40,15:24:13,absent,feeding,feeding,na,1,nuthatch,arrived at 9sec
silent,4/24/2023,15:27:41,15:28:14,na,na,na,na,0,na,
human,4/24/2023,15:38:01,15:38:33,na,na,na,na,0,na,
hawk,4/24/2023,15:41:53,15:42:25,feeding,feeding,feeding,na,0,tufted tit-mouse,
human,4/24/2023,15:45:56,15:46:29,na,na,na,na,0,na,
hawk,4/24/2023,15:50:00,15:50:32,na,na,na,na,0,na,
hawk,4/24/2023,15:57:23,15:57:55,feeding,feeding,feeding,na,1,house sparrow,
silent,4/24/2023,16:04:40,16:05:13,feeding,feeding,feeding,na,1,red-bellied woodpecker,
hawk,4/24/2023,16:14:16,16:14:48,absent,feeding,feeding,na,1,nuthatch,on camera at 12 and stayed until end
dog,4/24/2023,17:03:45,17:04:18,feeding,feeding,flies away,31,1,nuthatch,
bird,4/24/2023,17:23:29,17:24:01,feeding,flies away,absent,20,1,house sparrow,
silent,4/24/2023,17:27:16,17:27:48,feeding,flies away,absent,4,1,house sparrow,
human,4/24/2023,17:43:08,17:43:41,feeding,feeding,feeding,na,1,nuthatch,
hawk,4/24/2023,17:46:41,17:47:14,feeding,flies away,absent,11,1,house sparrow,
hawk,4/24/2023,17:56:26,17:56:59,feeding,feeding,feeding,na,1,cardinal,
human,4/24/2023,18:03:56,18:04:29,feeding,flies away,absent,3,1,house sparrow,
